tweets_Lisbon__Portugal_34,tweets_Lisbon__Portugal_49,foursquare_Lisbon__Portugal_12,foursquare_Lisbon__Portugal_17,foursquare_Lisbon__Portugal_20,foursquare_Lisbon__Portugal_25,foursquare_Lisbon__Portugal_28,foursquare_Lisbon__Portugal_31,foursquare_Lisbon__Portugal_46,foursquare_Lisbon__Portugal_33
tweetsAVnqmPX5McVkNEbR2A3y,tweetsAVnrKlaLMcVkNEbR3WCu,fsq_AVm12Uu8SAjC-p3JnLJn,fsq_AVm2YWjUSAjC-p3JnRWH,fsq_AVm12y6GSAjC-p3JnM6O,fsq_AVm12wFWSAjC-p3JnMyZ,fsq_AVm3FmTiSAjC-p3JnSUu,fsq_AVm12gCISAjC-p3JnMIc,fsq_AVm13FHISAjC-p3JnNcS,fsq_AVm2afLGSAjC-p3JnRhZ
tweetsAVlk14gwMcVkNEbRo7HR,tweetsAVnrKlaLMcVkNEbR3WCa,fsq_AVm126otSAjC-p3JnNCL,fsq_AVm2YWjUSAjC-p3JnRWH,fsq_AVm14h6WSAjC-p3JnQnh,fsq_AVmxoPkLSAjC-p3JnJ8J,fsq_AVm14HXLSAjC-p3JnPXS,fsq_AVm12_jfSAjC-p3JnNTv,fsq_AVm13UnlSAjC-p3JnN3G,fsq_AVm129kbSAjC-p3JnNSN
tweetsAVnqmPpKMcVkNEbR2A6Z,tweetsAVnrKlaLMcVkNEbR3WCC,fsq_AVm2vmHjSAjC-p3JnR4M,fsq_AVm14BMgSAjC-p3JnPHU,fsq_AVm12y6GSAjC-p3JnM6O,fsq_AVm12SP5SAjC-p3JnK93,fsq_AVm14ITNSAjC-p3JnPbC,fsq_AVm13ig4SAjC-p3JnOGm,fsq_AVm2xj2bSAjC-p3JnR82,fsq_AVm12YG0SAjC-p3JnLaJ
tweetsAVkuIDVwMcVkNEbRkr0A,tweetsAVnrKlaLMcVkNEbR3WCE,fsq_AVm2vmGoSAjC-p3JnR39,fsq_AVm14J2aSAjC-p3JnPhI,fsq_AVm12Oc8SAjC-p3JnKpq,fsq_AVm12w1ZSAjC-p3JnM1T,fsq_AVm13SCkSAjC-p3JnNv9,fsq_AVm13igrSAjC-p3JnOGj,fsq_AVm3A6MLSAjC-p3JnSKl,fsq_AVm2afLGSAjC-p3JnRhZ
tweetsAVmYgk86McVkNEbRtMwX,tweetsAVnrKlaLMcVkNEbR3WCF,fsq_AVm126kXSAjC-p3JnNAw,fsq_AVm130UgSAjC-p3JnOhw,fsq_AVm129cFSAjC-p3JnNQK,fsq_AVm12gVaSAjC-p3JnMLh,fsq_AVm13SCkSAjC-p3JnNv9,fsq_AVmyCoNYSAjC-p3JnKNx,fsq_AVm2xj2bSAjC-p3JnR82,fsq_AVm12ZSKSAjC-p3JnLh0
tweetsAVlk14gvMcVkNEbRo7Gu,tweetsAVnrKlaLMcVkNEbR3WCH,fsq_AVm126gkSAjC-p3JnM_-,fsq_AVm1-2NbSAjC-p3JnQ42,fsq_AVm12sxrSAjC-p3JnMt2,fsq_AVm14IMGSAjC-p3JnPax,fsq_AVm13yDTSAjC-p3JnOgd,fsq_AVm13jGCSAjC-p3JnOH2,fsq_AVm12b_FSAjC-p3JnLxS,fsq_AVm1274_SAjC-p3JnNGw
tweetsAVl63QGAMcVkNEbRrRDk,tweetsAVnrKlaLMcVkNEbR3WCN,fsq_AVm127C7SAjC-p3JnNDR,fsq_AVm14ff_SAjC-p3JnQhr,fsq_AVm12PFNSAjC-p3JnKtl,fsq_AVm12fS_SAjC-p3JnMDK,fsq_AVm14K2qSAjC-p3JnPk3,fsq_AVm13ihaSAjC-p3JnOGu,fsq_AVmyDc7CSAjC-p3JnKQa,fsq_AVm12U-CSAjC-p3JnLMn
tweetsAVkuIDVwMcVkNEbRkr1Y,tweetsAVnrKlaLMcVkNEbR3WCU,fsq_AVm127C_SAjC-p3JnNDS,fsq_AVm14ff_SAjC-p3JnQhr,fsq_AVm12PFNSAjC-p3JnKtl,fsq_AVm12PQDSAjC-p3JnKvM,fsq_AVm14dvlSAjC-p3JnQYT,fsq_AVmyCoOSSAjC-p3JnKN_,fsq_AVm13FHISAjC-p3JnNcS,fsq_AVm13FTlSAjC-p3JnNcx
tweetsAVlk14gvMcVkNEbRo7G3,tweetsAVnrKlaLMcVkNEbR3WCV,fsq_AVm127CGSAjC-p3JnNDF,fsq_AVm13Lv6SAjC-p3JnNqN,fsq_AVm13-alSAjC-p3JnO2h,fsq_AVm13jtGSAjC-p3JnOKT,fsq_AVm12gf3SAjC-p3JnMNM,fsq_AVm13ihNSAjC-p3JnOGr,fsq_AVm2wVIFSAjC-p3JnR60,fsq_AVm12hgjSAjC-p3JnMRK
