tweets_Amsterdam__Netherlands_21,tweets_Amsterdam__Netherlands_28,foursquare_Amsterdam__Netherlands_01,foursquare_Amsterdam__Netherlands_09,foursquare_Amsterdam__Netherlands_13,foursquare_Amsterdam__Netherlands_24,foursquare_Amsterdam__Netherlands_31,foursquare_Amsterdam__Netherlands_32,foursquare_Amsterdam__Netherlands_44,foursquare_Amsterdam__Netherlands_10
tweetsAVl7V4QTMcVkNEbRrpos,tweetsAVkuTDKEMcVkNEbRk-bh,fsq_AVnjED8d9Rk57rBJY5Nh,fsq_AVnkfHHa9Rk57rBJZIDq,fsq_AVnja6pX9Rk57rBJY8xu,fsq_AVniwF5a9Rk57rBJY2mI,fsq_AVnix7Ns9Rk57rBJY3DC,fsq_AVnmH2a19Rk57rBJZTcl,fsq_AVnkyVVM9Rk57rBJZJ6B,fsq_AVnk0xc39Rk57rBJZKei
tweetsAVmZCjbYMcVkNEbRuDLp,tweetsAVkuTDKEMcVkNEbRk-bo,fsq_AVnjHQp29Rk57rBJY6q2,fsq_AVnkfHG29Rk57rBJZIDc,fsq_AVniJvuM9Rk57rBJY0Fg,fsq_AVniwF5a9Rk57rBJY2mI,fsq_AVlkJHomUKUEY4dTmaz-,fsq_AVngYFEc9Rk57rBJYva2,fsq_AVnkyVVM9Rk57rBJZJ6B,fsq_AVnmH8HM9Rk57rBJZTfD
tweetsAVnrW94xMcVkNEbR3wzI,tweetsAVnqvWs4McVkNEbR2bbT,fsq_AVnkEKbk9Rk57rBJZBuj,fsq_AVnkaYho9Rk57rBJZFW7,fsq_AVnkd_x-9Rk57rBJZGja,fsq_AVnivzhi9Rk57rBJY2bq,fsq_AVngoe4o9Rk57rBJYvnj,fsq_AVnkaO7t9Rk57rBJZFQb,fsq_AVnkwd3F9Rk57rBJZJJE,fsq_AVnkyVWP9Rk57rBJZJ6H
tweetsAVnrW9jxMcVkNEbR3wvC,tweetsAVnqvWs4McVkNEbR2bbR,fsq_AVnkfGrG9Rk57rBJZIC_,fsq_AVnjIa-79Rk57rBJY63M,fsq_AVnkuvNb9Rk57rBJZIr2,fsq_AVngueMT9Rk57rBJYwVO,fsq_AVnly6df9Rk57rBJZSGR,fsq_AVnkenKL9Rk57rBJZHUC,fsq_AVlkM8tpUKUEY4dTmdth,fsq_AVnlcwlz9Rk57rBJZPRA
tweetsAVnrW97XMcVkNEbR3w28,tweetsAVnqvWs4McVkNEbR2bbO,fsq_AVnkuozq9Rk57rBJZIfW,fsq_AVnjIa_Y9Rk57rBJY63V,fsq_AVnlFnlC9Rk57rBJZL5Q,fsq_AVnmLO549Rk57rBJZUEE,fsq_AVnmKkSI9Rk57rBJZT28,fsq_AVniFt9A9Rk57rBJYzvq,fsq_AVnkwP5w9Rk57rBJZI6W,fsq_AVnlcwlz9Rk57rBJZPRA
tweetsAVnrW9iXMcVkNEbR3wnS,tweetsAVnqvWs3McVkNEbR2bYG,fsq_AVnivKcB9Rk57rBJY2KG,fsq_AVlkEELpUKUEY4dTmP71,fsq_AVniJvuM9Rk57rBJY0Fg,fsq_AVngueMT9Rk57rBJYwVO,fsq_AVnkHxl29Rk57rBJZDhc,fsq_AVnjyxD59Rk57rBJY_us,fsq_AVlkE8oQUKUEY4dTmSBJ,fsq_AVnkyVWP9Rk57rBJZJ6H
tweetsAVl7ZgDiMcVkNEbRrrL3,tweetsAVnqvWs3McVkNEbR2bYD,fsq_AVnmLxvq9Rk57rBJZUQr,fsq_AVnjvScd9Rk57rBJY-u6,fsq_AVnivzql9Rk57rBJY2em,fsq_AVng9iLA9Rk57rBJYwkn,fsq_AVnjKLxi9Rk57rBJY7Cs,fsq_AVnjbcD09Rk57rBJY9O7,fsq_AVnkD3Fn9Rk57rBJZBaV,fsq_AVnhdsP-9Rk57rBJYyFM
tweetsAVl7ZgDiMcVkNEbRrrLx,tweetsAVnqvOiBMcVkNEbR2bB5,fsq_AVnl2uFs9Rk57rBJZS2x,fsq_AVnkaAHi9Rk57rBJZFBZ,fsq_AVniuLsT9Rk57rBJY1y4,fsq_AVng9iLA9Rk57rBJYwkn,fsq_AVnix7Ns9Rk57rBJY3DC,fsq_AVnmH2a19Rk57rBJZTcl,fsq_AVnkwP5w9Rk57rBJZI6W,fsq_AVnk0xc39Rk57rBJZKei
tweetsAVl7ZgDiMcVkNEbRrrLl,tweetsAVkuTDKDMcVkNEbRk-V-,fsq_AVnlJ48g9Rk57rBJZOFI,fsq_AVlkDpRxUKUEY4dTmObT,fsq_AVnkd_Uf9Rk57rBJZGib,fsq_AVnmLO549Rk57rBJZUEE,fsq_AVnly6h59Rk57rBJZSH0,fsq_AVnYyajo9Rk57rBJYd0N,fsq_AVnkyVU99Rk57rBJZJ58,fsq_AVnk0c4z9Rk57rBJZKUx
tweetsAVmZChQAMcVkNEbRuDDr,tweetsAVlkbMclMcVkNEbRoNwJ,fsq_AVnmJvDT9Rk57rBJZTs2,fsq_AVngqKk09Rk57rBJYv5T,fsq_AVnkbSqU9Rk57rBJZGIH,fsq_AVnmMW7Q9Rk57rBJZUVh,fsq_AVnkd_OQ9Rk57rBJZGgH,fsq_AVnjyxD59Rk57rBJY_us,fsq_AVlkM8l6UKUEY4dTmdtQ,fsq_AVnlJ22H9Rk57rBJZODl
tweetsAVmZBzZJMcVkNEbRuB3L,tweetsAVlTdaHAMcVkNEbRnqL1,fsq_AVnlGclg9Rk57rBJZMSL,fsq_AVlkDqz4UKUEY4dTmOjy,fsq_AVnlcehk9Rk57rBJZPL9,fsq_AVnmMW7Q9Rk57rBJZUVh,fsq_AVnkd_Uz9Rk57rBJZGii,fsq_AVniFt9A9Rk57rBJYzvq,fsq_AVlkEo17UKUEY4dTmRXO,fsq_AVnjZH-u9Rk57rBJY8cW
tweetsAVllYq-WMcVkNEbRphlu,tweetsAVkuTDKDMcVkNEbRk-V1,fsq_AVnixFEO9Rk57rBJY2zR,fsq_AVnl5BE49Rk57rBJZTK1,fsq_AVnkd_QN9Rk57rBJZGg3,fsq_AVnlFnj09Rk57rBJZL4z,fsq_AVlkDo3JUKUEY4dTmOYm,fsq_AVnmH2cq9Rk57rBJZTdP,fsq_AVnkD3Fn9Rk57rBJZBaV,fsq_AVnkyVWP9Rk57rBJZJ6H
tweetsAVnrW94xMcVkNEbR3wvh,tweetsAVm847-wMcVkNEbRx8gy,fsq_AVnkfGrG9Rk57rBJZIC_,fsq_AVlkDq1sUKUEY4dTmOkG,fsq_AVnivzql9Rk57rBJY2em,fsq_AVnlFnj09Rk57rBJZL4z,fsq_AVnkd_Mm9Rk57rBJZGfg,fsq_AVnjbcD09Rk57rBJY9O7,fsq_AVnkwd3F9Rk57rBJZJJE,fsq_AVnkyVWP9Rk57rBJZJ6H
