tweets_Athens__Greece_20,tweets_Athens__Greece_27,foursquare_Athens__Greece_11,foursquare_Athens__Greece_12,foursquare_Athens__Greece_14,foursquare_Athens__Greece_15,foursquare_Athens__Greece_16,foursquare_Athens__Greece_22,foursquare_Athens__Greece_28,foursquare_Athens__Greece_29,foursquare_Athens__Greece_06
tweetsAVl6stJzMcVkNEbRrKh3,tweetsAVl7FMVcMcVkNEbRreUj,fsq_AVnYEzXH9Rk57rBJYTt2,fsq_AVnYB7kM9Rk57rBJYSDp,fsq_AVnaH2Ox9Rk57rBJYqI2,fsq_AVnU9E_-SAjC-p3Jnjso,fsq_AVnYE2qE9Rk57rBJYTzM,fsq_AVnYK7rH9Rk57rBJYXgb,fsq_AVnYF7y09Rk57rBJYUyO,fsq_AVnZsSex9Rk57rBJYm5q,fsq_AVnYZHur9Rk57rBJYZFa
tweetsAVl7T-PsMcVkNEbRrowx,tweetsAVl7FbfAMcVkNEbRreYC,fsq_AVnbEKeV9Rk57rBJYtFd,fsq_AVnYHUpR9Rk57rBJYVeW,fsq_AVlkDcD1UKUEY4dTmNSq,fsq_AVnU9B3NSAjC-p3JnjiJ,fsq_AVnYFAed9Rk57rBJYUTK,fsq_AVnYHetj9Rk57rBJYVvW,fsq_AVnYF7y09Rk57rBJYUyO,fsq_AVnZsSex9Rk57rBJYm5q,fsq_AVnU9DqDSAjC-p3JnjoU
tweetsAVmZAT1RMcVkNEbRt_tx,tweetsAVl7FbfAMcVkNEbRreYG,fsq_AVnZsRCM9Rk57rBJYm3S,fsq_AVnZqpww9Rk57rBJYmqb,fsq_AVlkDaReUKUEY4dTmNIP,fsq_AVnU9B3NSAjC-p3JnjiJ,fsq_AVl_zu3uUKUEY4dTnmEE,fsq_AVnY4DGi9Rk57rBJYglS,fsq_AVnYDB2K9Rk57rBJYStq,fsq_AVlkEGwKUKUEY4dTmQEw,fsq_AVnYK9kL9Rk57rBJYX0K
tweetsAVlT93fbMcVkNEbRnwwZ,tweetsAVl7FbfAMcVkNEbRreXs,fsq_AVnZsRCl9Rk57rBJYm3a,fsq_AVnXbJCA9Rk57rBJYM5Q,fsq_AVnYHFn69Rk57rBJYVCa,fsq_AVnYK_cF9Rk57rBJYX_b,fsq_AVnYE5FG9Rk57rBJYUAH,fsq_AVlkEIn_UKUEY4dTmQJ2,fsq_AVnYHU169Rk57rBJYVhn,fsq_AVlkDhWhUKUEY4dTmNyk,fsq_AVnYby5b9Rk57rBJYZ6S
tweetsAVm8381_McVkNEbRx6oj,tweetsAVl7FbfAMcVkNEbRreYH,fsq_AVnYK8bH9Rk57rBJYXqU,fsq_AVnXa-XC9Rk57rBJYM0V,fsq_AVlkDRRBUKUEY4dTmM-D,fsq_AVnYK_cF9Rk57rBJYX_b,fsq_AVlkHjFWUKUEY4dTmY82,fsq_AVnXcjJ09Rk57rBJYNel,fsq_AVlkIhprUKUEY4dTmaFQ,fsq_AVlkJiGzUKUEY4dTmbAA,fsq_AVnXWDYg9Rk57rBJYJ63
tweetsAVm8381_McVkNEbRx6oi,tweetsAVl7FMVcMcVkNEbRreVc,fsq_AVnWmr9P9Rk57rBJYCov,fsq_AVnVLmPPSAjC-p3Jnklm,fsq_AVlkOGUUUKUEY4dTmfC7,fsq_AVnYEQhX9Rk57rBJYTXe,fsq_AVnYE2zz9Rk57rBJYT2v,fsq_AVnYK7f39Rk57rBJYXcH,fsq_AVnXyIDW9Rk57rBJYRPG,fsq_AVnXz3ef9Rk57rBJYRq-,fsq_AVnWpgbN9Rk57rBJYDtC
tweetsAVnrWtbVMcVkNEbR3wPl,tweetsAVl7FbfAMcVkNEbRreX8,fsq_AVlkObNWUKUEY4dTmfW9,fsq_AVnXazzD9Rk57rBJYMtE,fsq_AVnVnakHSAjC-p3Jnl7E,fsq_AVnYEQhX9Rk57rBJYTXe,fsq_AVnYE20l9Rk57rBJYT25,fsq_AVnYZBjS9Rk57rBJYZD5,fsq_AVnYHU169Rk57rBJYVhn,fsq_AVnVNM81SAjC-p3Jnkux,fsq_AVnXWDXl9Rk57rBJYJ6i
tweetsAVlllweeMcVkNEbRpw02,tweetsAVl7FbfAMcVkNEbRreX_,fsq_AVlkObNQUKUEY4dTmfW8,fsq_AVnZqpww9Rk57rBJYmqb,fsq_AVlkUWbHUKUEY4dTmkyW,fsq_AVnYdSQz9Rk57rBJYa2c,fsq_AVnYCZFI9Rk57rBJYSXQ,fsq_AVlkDg0dUKUEY4dTmNvS,fsq_AVnXyIDW9Rk57rBJYRPG,fsq_AVnZWQau9Rk57rBJYkOy,fsq_AVlkYVG1UKUEY4dTmor9
tweetsAVnrWteHMcVkNEbR3wXp,tweetsAVl7FbfAMcVkNEbRreYn,fsq_AVnYyyFP9Rk57rBJYeDj,fsq_AVnVnP8KSAjC-p3Jnlmq,fsq_AVnaH2Ox9Rk57rBJYqI2,fsq_AVlkUI8QUKUEY4dTmkjP,fsq_AVnYE2uv9Rk57rBJYT06,fsq_AVnYZBjS9Rk57rBJYZD5,fsq_AVlkH7GmUKUEY4dTmZU-,fsq_AVnU9JNJSAjC-p3Jnj4J,fsq_AVnV31m0SAjC-p3Jnm1M
